DATE_KEY,INVOICE_NO,PRODUCT_KEY,PRODUCT_DESCRIPTION
20110130,32592,111946,APPLES
20110130,36419,111946,APPLES
20110130,36425,111946,APPLES
20110130,36426,111946,APPLES
20110130,36614,111946,APPLES
20110130,73307,111946,APPLES
20110130,73334,111946,APPLES
20110130,73347,111946,APPLES
20110130,73398,111946,APPLES
20110130,73456,111946,APPLES
20110130,73526,111946,APPLES
20110130,73788,111946,APPLES
20110130,73873,111946,APPLES
20110130,73962,111946,APPLES
20110130,95413,111946,APPLES
20110130,95439,111946,APPLES
20110130,95477,111946,APPLES
20110130,95539,111946,APPLES
20110130,95803,111946,APPLES
20110130,95871,111946,APPLES
20110130,95910,111946,APPLES
20110130,95941,111946,APPLES
20110130,30802,111946,APPLES
20110130,30879,111946,APPLES
20110130,70963,111946,APPLES
20110130,70968,111946,APPLES
20110130,70991,111946,APPLES
20110130,71107,111946,APPLES
20110130,71138,111946,APPLES
20110130,71191,111946,APPLES
20110130,71211,111946,APPLES
20110130,71264,111946,APPLES
20110130,71317,111946,APPLES
20110130,71387,111946,APPLES
20110130,71417,111946,APPLES
20110130,10834,111946,APPLES
20110130,10857,111946,APPLES
20110130,10938,111946,APPLES
20110130,10975,111946,APPLES
20110130,11023,111946,APPLES
20110130,11087,111946,APPLES
20110130,11110,111946,APPLES
20110130,11201,111946,APPLES
20110130,11217,111946,APPLES
20110130,11228,111946,APPLES
20110130,11429,111946,APPLES
20110130,11437,111946,APPLES
20110130,57996,111946,APPLES
20110130,58001,111946,APPLES
20110130,58526,111946,APPLES
20110130,43608,111946,APPLES
20110130,43642,111946,APPLES
20110130,43648,111946,APPLES
20110130,43729,111946,APPLES
20110130,43774,111946,APPLES
20110130,43819,111946,APPLES
20110130,43871,111946,APPLES
20110130,43947,111946,APPLES
20110130,3238,111946,APPLES
20110130,3273,111946,APPLES
20110130,3339,111946,APPLES
20110130,3342,111946,APPLES
20110130,3512,111946,APPLES
20110130,3567,111946,APPLES
20110130,3596,111946,APPLES
20110130,20174,111946,APPLES
20110130,20194,111946,APPLES
20110130,20197,111946,APPLES
20110130,20282,111946,APPLES
20110130,20295,111946,APPLES
20110130,20532,111946,APPLES
20110130,20581,111946,APPLES
20110130,20736,111946,APPLES
20110130,20965,111946,APPLES
20110130,4145,111946,APPLES
20110130,4203,111946,APPLES
20110130,48039,111946,APPLES
20110130,48080,111946,APPLES
20110130,48395,111946,APPLES
20110130,48664,111946,APPLES
20110130,64435,111946,APPLES
20110130,64461,111946,APPLES
20110130,64526,111946,APPLES
20110130,64544,111946,APPLES
20110130,64841,111946,APPLES
20110130,64851,111946,APPLES
20110130,64870,111946,APPLES
20110130,64929,111946,APPLES
20110130,64983,111946,APPLES
20110130,65001,111946,APPLES
20110130,65118,111946,APPLES
20110130,31141,111946,APPLES
20110130,52428,111946,APPLES
20110130,52659,111946,APPLES
20110130,68498,111946,APPLES
20110130,68561,111946,APPLES
20110131,87520,111946,APPLES
20110131,87622,111946,APPLES
20110131,88173,111946,APPLES
20110131,32883,111946,APPLES
20110131,36942,111946,APPLES
20110131,37273,111946,APPLES
20110131,74116,111946,APPLES
20110131,74159,111946,APPLES
20110131,74269,111946,APPLES
20110131,74280,111946,APPLES
20110131,74408,111946,APPLES
20110131,74583,111946,APPLES
20110131,74671,111946,APPLES
20110131,74692,111946,APPLES
20110131,74703,111946,APPLES
20110131,96137,111946,APPLES
20110131,96268,111946,APPLES
20110131,96354,111946,APPLES
20110131,96387,111946,APPLES
20110131,96562,111946,APPLES
20110131,96615,111946,APPLES
20110131,96708,111946,APPLES
20110131,96742,111946,APPLES
20110131,96764,111946,APPLES
20110131,96839,111946,APPLES
20110131,11647,111946,APPLES
20110131,11697,111946,APPLES
20110131,11747,111946,APPLES
20110131,11850,111946,APPLES
20110131,11870,111946,APPLES
20110131,11913,111946,APPLES
20110131,12063,111946,APPLES
20110131,44031,111946,APPLES
20110131,44080,111946,APPLES
20110131,44086,111946,APPLES
20110131,44095,111946,APPLES
20110131,3950,111946,APPLES
20110131,3956,111946,APPLES
20110131,4043,111946,APPLES
20110131,4071,111946,APPLES
20110131,4231,111946,APPLES
20110131,4355,111946,APPLES
20110131,21217,111946,APPLES
20110131,21435,111946,APPLES
20110131,21533,111946,APPLES
20110131,21627,111946,APPLES
20110131,21731,111946,APPLES
